candidates
153001
-1
125387
213657
157670
128454
-1
272443
134108
-1
90450
221117
266129
183250
217993
226647
269726
204325
188039
109166
258272
140923
124783
84657
119916
141399
108888
90553
77238
53925
102870
93157
112166
97116
86212
112386
221510
83313
176002
250251
208699
189173
116425
782916
472362
140377
89187
269486
717155
113470
245071
-1
105839
123515
-1
371724
171731
144745
222934
107220
230133
-1
255267
117936
184494
-1
203696
-1
170157
75658
185935
-1
157133
145312
148717
134134
199954
114149
425731
137765
152639
223329
406541
124255
158733
151144
180946
113212
256827
312816
135022
301301
208686
239401
219830
1058090
213141
229222
124848
166194
184387
407778
120150
99862
252729
116680
174581
155289
242848
179461
124180
149644
-1
-1
-1
-1
-1
149305
111054
4328203
474371
68780
-1
-1
1727477
552295
-1
377886
455320
-1
-1
183401
175503
77595
271691
99872
168573
14432020
-1
115638
631057
792604
118033
102764
215390
4383509
62167139
-1
3013268
778809
-1
-1
-1
3234317
-1
-1
-1
-1
403307
442096
48050032
306831
-1
-1
-1
1470635
-1
1332914
-1
-1
-1
3661267
-1
317243
466891
107274
335273
-1
207855
956513
-1
1056493
712531
2896811
-1
98462
142872
880967
1284256
-1
